Time;Acceleration;Position
2025/04/27_15:21:08;{'x': 0.5123591552734374, 'y': 2.3295582153320313, 'z': 9.519345800781249};(8.743096999999999, 48.0751622, 725276)
2025/04/27_15:21:09;{'x': 0.3112462158203125, 'y': 2.3223756103515623, 'z': 9.495403784179686};(8.7430995, 48.0751625, 725471)
2025/04/27_15:21:10;{'x': 0.4477157104492187, 'y': 2.27927998046875, 'z': 9.591171850585937};(8.7430995, 48.0751625, 725471)
2025/04/27_15:21:11;{'x': 0.5267243652343749, 'y': 2.442085693359375, 'z': 9.428366137695312};(8.7430995, 48.0751625, 725471)
2025/04/27_15:21:12;{'x': 0.507570751953125, 'y': 2.319981408691406, 'z': 9.430760339355468};(8.7431004, 48.0751619, 726164)
2025/04/27_15:21:13;{'x': 0.4429273071289062, 'y': 2.3295582153320313, 'z': 9.533711010742186};(8.7431004, 48.0751619, 726164)
2025/04/27_15:21:14;{'x': 0.44053310546874996, 'y': 2.288856787109375, 'z': 9.445125549316407};(8.7431004, 48.0751619, 726164)
2025/04/27_15:21:15;{'x': 0.44532150878906246, 'y': 2.3295582153320313, 'z': 9.41639512939453};(8.7431004, 48.0751619, 726164)
2025/04/27_15:21:16;{'x': 0.6009446166992187, 'y': 2.31758720703125, 'z': 9.430760339355468};(8.7431245, 48.0751454, 721224)
2025/04/27_15:21:17;{'x': 0.49320554199218747, 'y': 2.2960393920898436, 'z': 9.442731347656249};(8.7431245, 48.0751454, 721224)
2025/04/27_15:21:18;{'x': 0.46208092041015625, 'y': 2.3319524169921872, 'z': 9.361328491210937};(8.7431245, 48.0751454, 721224)
2025/04/27_15:21:19;{'x': 0.47884033203125, 'y': 2.3391350219726563, 'z': 9.45470235595703};(8.7431245, 48.0751454, 721224)
2025/04/27_15:21:20;{'x': 0.4644751220703125, 'y': 2.2744915771484373, 'z': 9.394847314453125};(8.7431245, 48.0751454, 721224)
2025/04/27_15:21:21;{'x': 0.5434837768554687, 'y': 2.3223756103515623, 'z': 9.49300958251953};(8.7431544, 48.075148899999995, 721501)
2025/04/27_15:21:22;{'x': 0.49320554199218747, 'y': 2.319981408691406, 'z': 9.41639512939453};(8.743141099999999, 48.075145199999994, 721554)
2025/04/27_15:21:23;{'x': 0.47644613037109373, 'y': 2.308010400390625, 'z': 9.447519750976562};(8.743141099999999, 48.075145199999994, 721554)
2025/04/27_15:21:24;{'x': 0.43574470214843747, 'y': 2.346317626953125, 'z': 9.45470235595703};(8.743141099999999, 48.075145199999994, 721554)
