Time;GeigerCounts;Ozone;Pressure;Temperature;CO2;InsideTemp;Humidity;Relative Humidity;BME-Pressure;BME-Altitude
2025/04/27_15:24:00;16;20.0;767.5462332019162;15.510969299003483;1616;26.3080078125;34.300625107989354;34.300625107989354;942.7051097680949;604.6206165284159
2025/04/27_15:24:01;16;20.0;813.0049358248568;33.928558045625685;1616;26.3130859375;34.199290053094046;34.06987834486828;942.7141925227028;604.5404464330257
2025/04/27_15:24:02;16;20.0;767.5112666084456;15.501463084220886;1616;26.3130859375;34.289312706985726;34.289312706985726;942.7147326049287;604.5356793478733
2025/04/27_15:24:03;16;20.0;-1707.717493521431;-560.6824542200612;;26.3080078125;34.17684516022089;34.17684516022089;942.6847841556379;604.800025412627
2025/04/27_15:24:04;16;20.0;767.5600086140263;15.513747919797897;1684;26.3130859375;34.227422386481024;34.227422386481024;942.7350583963636;604.3562734987901
2025/04/27_15:24:05;17;20.0;767.5661892909567;15.51586841000244;1684;26.3080078125;34.57056157614333;34.57056157614333;942.7328246478029;604.3759895548567
2025/04/27_15:24:06;17;20.0;767.5720182464534;15.5157952901721;1684;26.323046875;34.1766640620153;34.1766640620153;942.6947151105804;604.7123670700873
2025/04/27_15:24:07;18;20.0;767.5771320908457;15.526982191037387;1684;26.328125;34.24974941677241;34.24974941677241;942.7145009284562;604.5377242611717
2025/04/27_15:24:08;18;20.0;767.5725448045835;15.52040176672861;1725;26.3130859375;34.5256109215308;34.5256109215308;942.6689996115742;604.9393536302399
2025/04/27_15:24:09;18;20.0;767.582611409001;15.522522158622742;1725;26.3130859375;34.24992808690606;34.24992808690606;942.7113449740167;604.5655806184532
2025/04/27_15:24:10;19;20.0;767.5758984416013;15.52354578487575;1725;26.328125;34.255376007858786;34.255376007858786;942.6958685170673;604.7021862546251
2025/04/27_15:26:48;3;20.0;831.41101832867;12.09421115187928;2039;26.2521484375;34.256276776720256;34.256276776720256;942.751690835889;604.2094693959477
2025/04/27_15:26:49;4;20.0;831.3923864418953;12.096922156643123;2039;26.2724609375;34.31229458062229;34.31229458062229;942.7275178720531;604.4574876764949
2025/04/27_15:26:50;5;20.0;831.3928533088649;12.097632170841099;2039;26.2978515625;34.05881233436769;34.0588747849561;942.7524608400806;604.2026731031057
2025/04/27_15:26:51;6;20.0;831.4437807582015;12.105442029517144;2039;26.2978515625;34.210725254951925;34.210725254951925;942.7112708740999;604.5662346699135
